         341098 function calls (251026 primitive calls) in 2.045 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.625    1.625    1.626    1.626 {built-in method exec}
        1    0.000    0.000    0.423    0.423 f:\CODE\tka-handpath-constructor\main.py:11(__init__)
        1    0.000    0.000    0.423    0.423 f:\CODE\tka-handpath-constructor\main.py:39(_init_main_window)
        1    0.000    0.000    0.375    0.375 f:\CODE\tka-handpath-constructor\widgets\main_widget.py:22(__init__)
        1    0.001    0.001    0.171    0.171 f:\CODE\tka-handpath-constructor\widgets\graph_editor\graph_editor.py:20(__init__)
        1    0.000    0.000    0.121    0.121 f:\CODE\tka-handpath-constructor\widgets\option_picker\option_picker.py:11(__init__)
        1    0.000    0.000    0.121    0.121 f:\CODE\tka-handpath-constructor\widgets\option_picker\option_picker.py:18(setup_ui)
        1    0.000    0.000    0.109    0.109 f:\CODE\tka-handpath-constructor\widgets\option_picker\letter_buttons.py:35(__init__)
        1    0.000    0.000    0.109    0.109 f:\CODE\tka-handpath-constructor\widgets\option_picker\letter_buttons.py:42(init_letter_buttons_layout)
       47    0.100    0.002    0.106    0.002 f:\CODE\tka-handpath-constructor\widgets\option_picker\letter_buttons.py:115(create_button)
        1    0.000    0.000    0.090    0.090 f:\CODE\tka-handpath-constructor\widgets\graph_editor\pictograph\pictograph.py:61(__init__)
        1    0.000    0.000    0.089    0.089 f:\CODE\tka-handpath-constructor\widgets\graph_editor\pictograph\pictograph.py:76(setup_components)
      125    0.080    0.001    0.080    0.001 {built-in method _io.open}
        1    0.000    0.000    0.079    0.079 f:\CODE\tka-handpath-constructor\utilities\json_handler.py:18(load_all_letters)
        1    0.045    0.045    0.048    0.048 {built-in method show}
        1    0.000    0.000    0.043    0.043 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_panel.py:15(__init__)
        2    0.000    0.000    0.043    0.021 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box.py:35(__init__)
        2    0.000    0.000    0.043    0.021 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box.py:49(init_ui)
        1    0.000    0.000    0.037    0.037 f:\CODE\tka-handpath-constructor\widgets\graph_editor\pictograph\pictograph.py:105(setup_managers)
        1    0.000    0.000    0.037    0.037 f:\CODE\tka-handpath-constructor\utilities\letter_engine.py:39(__init__)
        1    0.000    0.000    0.037    0.037 f:\CODE\tka-handpath-constructor\utilities\letter_engine.py:49(preprocess_combinations)
